peak_date,trough_date,rank,ticker,return_pct,peak_px,trough_px,peak_obs_date,trough_obs_date,sp500_drawdown_pct,membership_confidence
2000-03-24,2000-12-20,1,DVA,404.167,1.0,5.0416669845581055,2000-03-24,2000-12-20,-17.2,high
2000-03-24,2000-12-20,2,LH,308.254,8.058452606201172,32.89896011352539,2000-03-24,2000-12-20,-17.2,high
2000-03-24,2000-12-20,3,DGX,230.017,6.345829010009766,20.94233512878418,2000-03-24,2000-12-20,-17.2,high
2000-03-24,2000-12-20,4,COR,219.583,2.398998498916626,7.6668009757995605,2000-03-24,2000-12-20,-17.2,high
2000-03-24,2000-12-20,5,EOG,172.743,3.077442169189453,8.393497467041016,2000-03-24,2000-12-20,-17.2,high
